Unnamed: 0,Station_id,Station Name,Latitude,Longitude,NAME_1,NAME_2,Unnamed: 7
471,471,CHARLES COUNTY CRAIN CENTER1,38.369101,-76.960389,Maryland,Charles,
472,472,Haworth Inn & Conference Center,42.78875732,-86.10360718,Michigan,Ottawa,
473,473,TC Chevrolet,42.219548,-122.740005,Oregon,Jackson,
475,475,Meridian Associates Inc,42.562222,-70.88959,Massachusetts,Essex,
476,476,NV ENERGY NV ENERGY 03,36.145081,-115.227058,Nevada,Clark,
477,477,Greenville-Spartanburg International Airport - Parking Lot B,34.889453,-82.215505,South Carolina,Spartanburg,
478,478,PIE AE ANIMAL SERVICE2,30.251357,-97.689015,Texas,Travis,
479,479,PIE AE PUBDITTMAR2,30.18534,-97.801184,Texas,Travis,
480,480,PIE AE PUB-STDAVIDSST1,30.268887,-97.738936,Texas,Travis,
481,481,Harrisonburg Electric Commission,38.447533,-78.870744,Virginia,Harrisonburg,
483,483,City of Kingsport - Parking Garage,36.547921,-82.56179,Tennessee,Sullivan,
484,484,MGE FITCHBURG CC,43.002006,-89.423463,Wisconsin,Dane,
485,485,MGE LAKE ST ADA,43.074008,-89.397267,Wisconsin,Dane,
486,486,MGE VILAS ZOO ADA,43.058323,-89.410359,Wisconsin,Dane,
487,487,Marsh Street Parking Structure,35.279705,-120.6609,California,San Luis Obispo,
488,488,Wilkerson Nature Preserve Park,35.92353,-78.599883,North Carolina,Wake,
490,490,HIGHLANDCHEVRON HIGHLAND DUAL 1,45.475962,-122.825561,Oregon,Washington,
491,491,IBEWLOCAL26JATC MANASSAS 1,38.803836,-77.516487,Virginia,Prince William,
492,492,CITY OF SEATAC CITY HALL 1,47.434021,-122.273183,Washington,King,
493,493,LEE COUNTY GOV ADMIN EAST,26.642789,-81.869132,Florida,Lee,
494,494,OUC SHERATON UNIT 1,28.463514,-81.461419,Florida,Orange,
495,495,OUC OUC GARDENIA 01,28.503733,-81.422651,Florida,Orange,
496,496,PALMER SQUARE CHAMBERS GARAGE,40.350118,-74.662732,New Jersey,Mercer,
497,497,Mission Trail Baptist Hospital,29.343808,-98.436931,Texas,Bexar,
498,498,Hawaii State Capitol Basement Parking Garage,21.30703,-157.857725,Hawaii,Honolulu,
499,499,Ka'ahumanu Hale First Circuit Court Parking Garage,21.302295,-157.861322,Hawaii,Honolulu,
500,500,Waikiki Beach Marriott,21.272518,-157.823246,Hawaii,Honolulu,
501,501,McHenry Row - Harris Teeter,39.26894,-76.5996,Maryland,Baltimore,
502,502,American Bush - Solar Canopy,40.714413,-111.900552,Utah,Salt Lake,
503,503,Anchor Nissan,41.96108,-71.494611,Rhode Island,Providence,
504,504,Net Zero USA,34.138312,-84.251109,Georgia,Forsyth,
505,505,CITY BRADENTON RIVERWALK,27.499076,-82.569442,Florida,Manatee,
506,506,Orlando Health - Dr. P Phillips Hospital,28.429987,-81.475116,Florida,Orange,
507,507,OUC OUC PERSHING 01,28.499373,-81.303897,Florida,Orange,
508,508,OUC OC FAMILY SERV,28.51288,-81.358702,Florida,Orange,
509,509,DON CESAR HOTEL EV CHARGER 01,27.709441,-82.736735,Florida,Pinellas,
510,510,HARVARD PILGRIM HPHCQ2,42.232376,-71.019877,Massachusetts,Norfolk,
511,511,Park 'N Fly,29.94917,-95.33138,Texas,Harris,
512,512,BELLEVUE SBCC #2,47.568871,-122.145285,Washington,King,
513,513,SAMMAMISH GARAGE 1,47.601657,-122.036938,Washington,King,
514,514,CITY BRADENTON JUDICIALGARAGE2,27.493279,-82.573234,Florida,Manatee,
515,515,Embassy Suites Hotel - Waikiki Beach Walk,21.279142,-157.831689,Hawaii,Honolulu,
516,516,Ohana Waikiki East,21.277846,-157.825052,Hawaii,Honolulu,
517,517,Raleigh Municipal Building Deck,35.779082,-78.641779,North Carolina,Wake,
518,518,City of Raleigh - Walnut Creek Wetland Center,35.760503,-78.625345,North Carolina,Wake,
519,519,City of Raleigh - Optimist Park and Community Center,35.862603,-78.643641,North Carolina,Wake,
520,520,City of Raleigh - Jaycee Park and Community Center,35.800443,-78.663445,North Carolina,Wake,
521,521,City of Raleigh - Wilders Grove,35.788789,-78.573106,North Carolina,Wake,
522,522,City of Raleigh - Transit Center,35.767483,-78.563464,North Carolina,Wake,
523,523,Giant Eagle #43 - Pine Township,40.632138,-80.054285,Pennsylvania,Allegheny,
