Unnamed: 0,value,location_unique_id,location_country,location_lat,location_lng,COUNTRY,Unnamed: 7,Unnamed: 8,Unnamed: 9
381,EasyGo - Lidl Ballymun,b192d220-13aa-11eb-8945-42010a840003,IE,53.397994,-6.264429,Ireland,,,
382,Security_hut_golf _1,0ea329a6-1932-11eb-a93c-42010a840003,IE,53.414392,-6.364972,Ireland,,,
383,Plaza 211,4fc964e6-891b-11eb-8ab4-42010a840003,IE,53.412393,-6.361033,Ireland,,,
384,EasyGo - DCU The Helix,3c93d3a0-231f-11eb-af6a-42010a840003,IE,53.386833,-6.259567,Ireland,,,
385,TEV006,ff5cab22-25c3-11eb-874c-42010a840003,IE,53.382607,-6.381065,Ireland,,,
386,TEV008,ffd53196-25c3-11eb-ae7f-42010a840003,IE,53.401559,-6.179905,Ireland,,,
387,TEV013,fff3e668-25c3-11eb-855d-42010a840003,IE,53.383207,-6.216304,Ireland,,,
388,EasyGo - Lidl Clonsilla,708635ac-2a33-11eb-8567-42010a840003,IE,53.383939,-6.419733,Ireland,,,
389,TEV029,a4d10dc4-314e-11eb-9317-42010a840003,IE,53.383092,-6.296249,Ireland,,,
390,TEV001,ada3540a-13aa-11eb-9a6d-42010a840003,IE,53.445491,-6.214984,Ireland,,,
391,C5RNF,f74ea4c2-c8d5-11e9-8c1f-42010a840003,IE,53.42053,-7.926822,Ireland,,,
392,C7M15,037ae50e-891d-11eb-b64e-42010a840003,IE,53.410591,-7.893679,Ireland,,,
393,C81WL,f0c314ee-f14d-11e9-954e-42010a840003,IE,53.520646,-6.144629,Ireland,,,
404,TEV011,ffb83e92-25c3-11eb-b4fb-42010a840003,IE,53.998507,-6.405068,Ireland,,,
405,EVB-P20031627,18deff76-8a10-11ec-bf13-42010a840003,IE,53.997945,-6.405957,Ireland,,,
408,Kearys Motorworld (Nissan)  Carrigrohane Road  Cork City  County Cork,99068ebc-3bba-11eb-b4df-42010a840003,IE,51.8931,-8.51136,Ireland,,,
409,Tesla Supercharger Cork - Mahon Point Shopping Centre,83f69464-dad8-11eb-8f95-42010a840003,IE,51.886592,-8.39677,Ireland,,,
410,Cork Airport Short Stay Car Park,263d0950-1b8a-11ec-92e3-42010a840003,IE,51.850764,-8.48917,Ireland,,,
414,EVB-P21431659,0d2c97cc-cc7f-11ec-bd18-42010aa4007a,IE,51.911315,-8.461558,Ireland,,,
416,The Lake Hotel  Muckross Road  Castlelough  Killarney  County Kerry  V93RR59,e798571c-c8d5-11e9-8a65-42010a840003,IE,52.038409,-9.499743,Ireland,,,
417,EVB-P1801285,15db0d20-29c1-11eb-9305-42010a840029,IE,52.018717,-9.501118,Ireland,,,
419,Castlerosse Hotel,25ffab64-1b8a-11ec-b975-42010a840003,IE,52.066429,-9.539775,Ireland,,,
424,C8VWZ,a9ad5b92-22ca-11ea-b0e3-42010a840003,IE,53.42735,-7.938098,Ireland,,,
436,C8QRW,f0244c6a-c8d5-11e9-8231-42010a840003,IE,53.288157,-9.047957,Ireland,,,
437,Windsor Nissan Galway,080f92e4-c8d6-11e9-9aab-42010a840003,IE,53.289563,-9.0065,Ireland,,,
438,Limerick Nissan  Delta Retail Park  Ballysimon Road  Limerick City  County Limerick,0822b55e-c8d6-11e9-992f-42010a840003,IE,52.648545,-8.581782,Ireland,,,
439,C8L7P,1eb4b092-f46e-11e9-bbee-42010a840003,IE,53.292256,-9.019465,Ireland,,,
440,Monaghan & Sons Galway,25def856-1b8a-11ec-bd5e-42010a840003,IE,53.29246,-9.018888,Ireland,,,
443,Windsor Motors (Nissan)  Monivea Road  Ballybrit  County Galway,992392fa-3bba-11eb-ac55-42010a840003,IE,53.2888,-9.00005,Ireland,,,
444,EVB-P1834406,7bb81358-c85f-11eb-b554-42010a840054,IE,53.284473,-9.065519,Ireland,,,
448,EVB-P21211531,3209ac12-7854-11ec-9c1e-42010a84000b,IE,52.67553,-8.647524,Ireland,,,
452,Fitzwilton Hotel  Bridge Street  Waterford City  County Waterford,e76f1cd0-c8d5-11e9-8172-42010a840003,IE,52.263453,-7.119468,Ireland,,,
453,EVB-P21261672,eda71852-9563-11ec-837b-42010a840049,IE,52.248202,-7.148736,Ireland,,,
454,EVB-P21261610,d486e402-c550-11ec-be94-42010a840074,IE,52.246529,-7.146835,Ireland,,,
455,EVB-P21261640,15fbe068-b732-11ec-8e24-42010a84004b,IE,52.251613,-7.179728,Ireland,,,
468,Ferrycarrig Hotel  Wexford-Enniscorthy Road (N11)  Ferrycarrig  County Wexford,e77892ce-c8d5-11e9-b621-42010a840003,IE,52.35413,-6.506075,Ireland,,,
469,Wexford Car Centre (Nissan)  Castlebridge Road (R741)  Ardcavan  County Wexford,0835b622-c8d6-11e9-a1a9-42010a840003,IE,52.355889,-6.452704,Ireland,,,
470,EVB-P2012347,85fc076a-2829-11eb-8570-42010a840009,IE,52.357028,-6.42003,Ireland,,,
472,C86T5,6de03c98-13aa-11eb-a351-42010a840003,IE,54.006376,-6.403907,Ireland,,,
473,Lidl Swords  59 Dublin Road  Swords  County Dublin  K67 E6A2,ef6f8d50-13a9-11eb-b3cf-42010a840003,IE,53.451235,-6.227134,Ireland,,,
475,TEV050,2bc9182a-8db6-11ec-89cf-42010a840003,IE,53.273049,-6.31502,Ireland,,,
476,The Coach House Ballinteer,d9b8cad4-a5c1-11ec-b1a3-42010a840003,IE,53.275659,-6.251414,Ireland,,,
477,EVB-P1829767,59afe49a-ddc8-11e8-8999-42010a840002,IE,53.339562,-6.46109,Ireland,,,
478,EVB-P1811189,fd7bb98e-4f3c-11e8-8d52-42010a840002,IE,53.279012,-6.218933,Ireland,,,
479,Tesla Destination Charger Clayton Hotel Leopardstown,36c77912-466d-11e9-a480-42010a840003,IE,53.271164,-6.205897,Ireland,,,
480,Bewleys Hotel Leopardstown  Central Park  Leopardstown  Dublin 18  County Dublin,e5d1a064-c8d5-11e9-9c85-42010a840003,IE,53.271314,-6.206086,Ireland,,,
481,Tesla Destination Charger Carlton Hotel Blanchardstown,3d684bfc-466d-11e9-89a6-42010a840003,IE,53.419053,-6.378743,Ireland,,,
483,Croke Park Hotel  Jones Road  Dublin 3  County Dublin,e608e0e2-c8d5-11e9-b4c2-42010a840003,IE,53.360803,-6.253881,Ireland,,,
484,Herbert Park Hotel  Via Anglesea Road  Ballsbridge  Dublin 4  County Dublin,e6133f24-c8d5-11e9-ba2c-42010a840003,IE,53.327991,-6.231744,Ireland,,,
485,EasyGo - Eirgrid  The Oval  Dublin Office,e1650d2a-13a9-11eb-bcbe-42010a840003,IE,53.331477,-6.230637,Ireland,,,
