Unnamed: 0,name,pname,cityname,wgs84_lon,wgs84_lat
226,国家电网充电站(安亭新镇物业公司停车场),上海市,上海市,121.16196954480026,31.273650079672485
227,开迈斯充电站(颖奕皇冠假日酒店),上海市,上海市,121.18644545913496,31.274455881404126
228,象前冲上海-嘉定颖奕皇冠假日酒店,上海市,上海市,121.18658472761916,31.274388152441407
229,象前充汽车充电站(上海-嘉定颖奕皇冠假日酒店),上海市,上海市,121.1866518642782,31.274269319330195
230,国家电网汽车充电站(上海青浦区四维尔停车场电动汽车充电点),上海市,上海市,121.196520596156,31.249961208704764
231,嘉定区安亭镇泥岗村民委员会电动汽车充电站,上海市,上海市,121.19694006807288,31.26445150760921
232,国家电网汽车充电站(上海市松江区松港高新技术产业园充电站),上海市,上海市,121.18103209648942,31.13262500351687
233,星星充电汽车充电站(强丰生态农庄),上海市,上海市,121.28955626312444,30.759028629315328
234,星星充电汽车充电站(金康花苑),上海市,上海市,121.3064051322684,30.74217245954522
235,特来电充电站(春华路站站),上海市,上海市,121.28648412904047,30.729332418298547
236,特来电充电站(上海海博油田),上海市,上海市,121.287535380347,30.72861029234017
237,国家电网汽车充电站(上海金山区国贸城二期),上海市,上海市,121.29843526853531,30.73599552777161
238,星星充电充电站(星星站金康花苑),上海市,上海市,121.30782216294132,30.741058464473458
239,星星充电汽车充电站(卫康花苑),上海市,上海市,121.3111910930046,30.73731818324353
240,星星充电汽车充电站(城西花苑),上海市,上海市,121.31162946530716,30.733255443397645
241,上海市金山区金山卫镇永联村民委员会电动汽车充电站,上海市,上海市,121.2676516836576,30.737422558751604
242,星星充电站(金山卫医院),上海市,上海市,121.30969520226306,30.727665865527
243,星星充电汽车充电站(城西花苑直流),上海市,上海市,121.31106086867965,30.73153337757148
244,星星充电汽车充电站(金山卫镇社区),上海市,上海市,121.30929908411892,30.72750567587784
245,星星充电汽车充电站(老西门花苑),上海市,上海市,121.30288284534984,30.72754619454929
246,沪浙服务区国家电网电动汽车充电站(暂停营业),上海市,上海市,121.26826859375402,30.73064749703475
247,国家电网汽车充电站(S4沪金高速沪浙服务区上海方向电动汽车充电站),上海市,上海市,121.2688418506616,30.73210026729205
248,依威能源汽车充电站(锦绣尊邸),上海市,上海市,121.32208013105372,30.75454760369308
249,国家电网汽车充电站,上海市,上海市,121.33573449132584,30.74225402170874
250,云快充汽车充电站(上海金山夏宁站),上海市,上海市,121.3378226004983,30.74623210029181
251,星星充电汽车充电站(河滨商业广场),上海市,上海市,121.33746757114356,30.743871975910867
252,国家电网汽车充电站(上海金山区行政服务中心),上海市,上海市,121.33534302195548,30.74612674823962
253,国家电网汽车充电站(上海金山区行政服务中心电动汽车充电站),上海市,上海市,121.33521232580506,30.74593309243559
254,国家电网汽车充电站(上海金山区图书馆电动汽车充电站),上海市,上海市,121.33576442508186,30.74226096242248
255,国家电网充电站(上海金山区杭州湾大道1700号),上海市,上海市,121.34018737346878,30.74793290119878
256,国家电网汽车充电站(上海金山区区政府会议中心电动汽车充电站),上海市,上海市,121.33940041434911,30.743712517152
257,国家电网汽车充电站,上海市,上海市,121.33253844261654,30.73183235313896
258,特斯拉充电站(华润万家-金山店新国标),上海市,上海市,121.33937855324432,30.73086713894308
259,蔚景云汽车充电站(申充华润万家金山店直流),上海市,上海市,121.33946441777914,30.730296272481176
260,特来电充电站(特来电站金山汉庭酒店),上海市,上海市,121.3274732753492,30.73824971124283
261,国家电网汽车充电站(上海金山区世纪城西侧电动汽车充电站),上海市,上海市,121.33171274690952,30.73816867764508
262,国家电网充电站(金山区复旦大学附属金山医院),上海市,上海市,121.32563175058267,30.75825983787737
263,国家电网汽车充电站(上海金山区复旦大学附属金山医院电动汽车充电站),上海市,上海市,121.32570458665988,30.75824470614864
264,特来电充电站(特来电站上海金山卫科创园二期),上海市,上海市,121.31844151900556,30.72932057543444
265,国家电网汽车充电站(金山万达店),上海市,上海市,121.33305093077288,30.75976891119345
266,国家电网汽车充电站(上海金山万达销售中心),上海市,上海市,121.33323450244914,30.760009438571583
267,国家电网汽车充电站(上海金山万达销售中心电动汽车充电站),上海市,上海市,121.33377426765956,30.760449191404
268,依威能源汽车充电站(都乐美食广场),上海市,上海市,121.3330115402203,30.753624213945404
269,汽车充电站(蔚来超充站上海金山万达),上海市,上海市,121.33422454530591,30.757221046954168
270,星星充电汽车充电站(上海石化工业学校),上海市,上海市,121.32124958467566,30.72420278604383
271,特来电充电站(上海金山工商联),上海市,上海市,121.34214324414285,30.74785142868164
272,国家电网汽车充电站(上海金山区规划展示馆电动汽车充电站),上海市,上海市,121.34309927664576,30.747499913249225
273,奇瑞新能源充电站,上海市,上海市,121.34837178638224,30.792068045072376
274,特来电充电站(上海金山百联),上海市,上海市,121.34240872910698,30.73561426363019
275,特斯拉超级充电站(金山百联购物中心),上海市,上海市,121.34304142814412,30.73538425842476
276,国家电网汽车充电站(上海市金山区枫憬酒店公共充电站),上海市,上海市,121.3418388522754,30.73646584439041
277,国家电网汽车充电站(上海金山区世纪城东侧电动汽车充电站),上海市,上海市,121.33444259879074,30.73914503423908
278,康迪汽车充电站(杭州湾大道),上海市,上海市,121.349925125432,30.729098678698897
279,国家电网汽车充电站(上海金山区铁路南广场电动汽车充电站),上海市,上海市,121.3570610537458,30.728617738450545
280,国家电网充电站(上海金山区张堰营业站),上海市,上海市,121.28593756299404,30.80678499431956
281,国家电网汽车充电站(上海金山区张堰镇公共停车场),上海市,上海市,121.28569908032792,30.80541608350488
282,安悦充电充电站(安悦站张堰镇社区卫生服务中心),上海市,上海市,121.2837472269116,30.806390195676183
283,国家电网汽车充电站(上海金山区张堰镇公共停车场电动汽车充电站),上海市,上海市,121.28547047784625,30.80525648771201
