unitPrice,zpid,latitude,longitude,homeType
422.483468,59311881,32.66818,-116.97123,SINGLE_FAMILY
506.5104167,17139098,32.661034,-117.036415,CONDO
438.2445141,17037864,32.750084,-117.01266,SINGLE_FAMILY
365.6174334,17038369,32.74563,-117.0059,SINGLE_FAMILY
526.3691684,17049321,32.734753,-116.95973,CONDO
438.1091618,17015927,32.73648,-117.03886,SINGLE_FAMILY
545.8367347,17125043,32.70262,-117.02346,SINGLE_FAMILY
456.959707,17044183,32.739,-117.01352,SINGLE_FAMILY
640.7574335,17135465,32.6874,-117.032265,SINGLE_FAMILY
433.0052493,17117682,32.71609,-116.99202,SINGLE_FAMILY
527.5974026,17113915,32.72241,-117.02591,SINGLE_FAMILY
426.0742899,17132581,32.67333,-117.04192,TOWNHOUSE
407.6760351,98971106,32.670532,-116.991516,SINGLE_FAMILY
288.1355932,2061753413,32.717693,-116.99425,SINGLE_FAMILY
632.382906,17126286,32.71046,-116.99343,SINGLE_FAMILY
653.8461538,17125546,32.71087,-117.01168,SINGLE_FAMILY
600.0,17113778,32.72523,-117.02301,SINGLE_FAMILY
376.4927718,17015611,32.740482,-117.04521,TOWNHOUSE
739.8273736,295365505,32.655872,-117.041176,SINGLE_FAMILY
563.4964266,17139369,32.658188,-117.028656,SINGLE_FAMILY
486.851457,2061960453,32.741898,-117.02375,CONDO
469.075747,17113204,32.72358,-117.04856,SINGLE_FAMILY
590.7534247,17134040,32.680126,-117.03032,CONDO
382.916053,17135890,32.68532,-117.030396,SINGLE_FAMILY
482.0261438,52521451,32.678753,-117.039,TOWNHOUSE
464.9196957,17133236,32.681095,-117.04478,CONDO
299.3690852,51080568,32.71792,-116.96337,SINGLE_FAMILY
490.2715953,67404011,32.661232,-116.96758,CONDO
356.3829787,52521828,32.654694,-116.987686,SINGLE_FAMILY
513.5135135,2062240239,32.734646,-117.00922,MULTI_FAMILY
482.7819041,17112754,32.71632,-117.043686,SINGLE_FAMILY
511.4503817,38434022,32.734272,-117.0263,SINGLE_FAMILY
581.17195,17119014,32.710533,-117.04172,SINGLE_FAMILY
499.9995,17038872,32.752064,-116.99421,SINGLE_FAMILY
378.0129336,17128967,32.69328,-117.026,TOWNHOUSE
518.5185185,17135948,32.68397,-117.02806,SINGLE_FAMILY
319.6099675,17044496,32.730427,-117.02307,SINGLE_FAMILY
341.2969283,99500336,32.720196,-116.98462,SINGLE_FAMILY
180.5555556,2063415215,32.69118,-117.02003,MANUFACTURED
407.9769342,17047456,32.73267,-116.976036,SINGLE_FAMILY
353.811515,99597416,32.720825,-116.98798,SINGLE_FAMILY
513.3614627,16984635,32.811363,-117.00758,SINGLE_FAMILY
568.6604886,2060624821,32.784832,-116.96424,SINGLE_FAMILY
585.1555282,17029913,32.7743,-116.987015,SINGLE_FAMILY
489.3048128,17034283,32.758385,-117.007385,SINGLE_FAMILY
408.4287201,17019012,32.808086,-117.00089,SINGLE_FAMILY
415.7983368,2063135051,32.82392,-116.95048,MULTI_FAMILY
373.0950511,16891100,32.82819,-117.01724,SINGLE_FAMILY
483.0210773,16884943,32.845932,-116.990036,SINGLE_FAMILY
515.9977064,17018250,32.805878,-117.00063,SINGLE_FAMILY
